"Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"310720 BOCAINA DE MINAS";"0";"0";"46,74";"24,73";"67,07";"47,56";"28,05";"88,46";"206,06";"190,00";"127,59";"118,18";"165,22";"134,78";"117,39";"91,30";"92,31";"77,50";"176,00";"127,27";"95,45";"97,06";"74,36";"52,78";"70,00"
"310730 BOCAIUVA";"0";"106,53";"38,08";"87,78";"63,68";"98,55";"14,35";"79,47";"109,18";"108,97";"106,70";"100,95";"102,21";"95,00";"102,35";"108,09";"101,17";"88,75";"106,47";"87,32";"88,33";"96,36";"58,00";"21,64";"81,18"
"310740 BOM DESPACHO";"0";"0";"86,53";"88,79";"125,51";"71,63";"16,41";"84,77";"106,49";"105,30";"95,00";"94,13";"96,08";"91,50";"108,17";"94,77";"102,01";"95,47";"105,11";"95,25";"114,08";"101,52";"97,61";"73,78";"84,42"
"310750 BOM JARDIM DE MINAS";"0";"0";"49,22";"38,93";"97,39";"78,26";"2,59";"92,77";"125,33";"121,95";"110,00";"174,63";"120,55";"149,32";"116,44";"117,81";"120,00";"102,67";"160,87";"111,27";"125,35";"81,71";"97,10";"49,21";"84,16"
"310760 BOM JESUS DA PENHA";"0";"93,44";"101,61";"46,03";"110,17";"88,33";"26,23";"168,09";"89,66";"121,74";"126,19";"192,00";"133,33";"140,00";"136,67";"156,67";"152,00";"101,59";"113,89";"80,00";"233,33";"164,00";"124,32";"88,24";"107,47"
"310770 BOM JESUS DO AMPARO";"0";"0";"0";"82,98";"52,33";"58,14";"14,12";"81,82";"117,65";"106,15";"91,43";"105,17";"110,91";"109,09";"121,82";"129,09";"66,27";"105,97";"160,71";"76,67";"72,22";"74,67";"97,30";"88,24";"73,94"
"310780 BOM JESUS DO GALHO";"0";"0";"52,75";"38,95";"33,33";"58,50";"42,23";"68,93";"106,70";"81,64";"96,09";"96,20";"103,89";"111,67";"105,56";"94,44";"134,62";"120,11";"103,53";"98,34";"67,96";"85,80";"87,10";"83,80";"71,62"
"310790 BOM REPOUSO";"0";"0";"61,40";"27,74";"42,11";"65,09";"7,44";"76,03";"147,54";"109,16";"120,53";"118,87";"143,81";"94,29";"101,90";"120,95";"153,85";"103,45";"89,52";"135,19";"121,30";"104,96";"88,28";"92,48";"73,36"
"310800 BOM SUCESSO";"0";"0";"68,37";"120,90";"54,74";"64,93";"5,88";"90,48";"92,17";"123,67";"104,23";"101,46";"86,17";"85,64";"99,47";"87,23";"79,69";"77,89";"100,00";"102,70";"73,51";"103,18";"88,83";"68,90";"73,57"
"310810 BONFIM";"0";"0";"17,65";"0";"42,17";"62,20";"17,07";"80,77";"168,00";"165,00";"121,57";"114,55";"150,00";"152,17";"97,83";"93,48";"136,96";"175,61";"93,33";"87,30";"119,05";"118,52";"135,29";"74,47";"79,47"
"310820 BONFINOPOLIS DE MINAS";"0";"50,42";"88,03";"58,77";"65,08";"56,80";"0,81";"114,52";"132,76";"94,38";"103,75";"235,19";"79,01";"106,17";"79,01";"71,60";"65,00";"94,74";"123,64";"100,00";"85,96";"105,56";"96,77";"80,70";"77,32"
"310825 BONITO DE MINAS";"0";"5,03";"35,22";"101,27";"65,05";"92,27";"0";"107,69";"95,27";"130,87";"119,38";"108,97";"106,90";"102,07";"106,21";"104,14";"169,77";"146,08";"121,05";"157,63";"133,05";"115,44";"123,13";"113,82";"93,04"
"310830 BORDA DA MATA";"0";"0";"83,91";"18,18";"45,69";"23,50";"19,70";"81,01";"85,88";"85,15";"70,95";"104,12";"118,52";"97,88";"81,48";"78,31";"72,90";"71,92";"85,99";"93,33";"68,48";"85,90";"82,89";"78,95";"68,03"
